run_id,epoch,trial_index_in_epoch,timestamp_iso,benchmark,runtime,input_size,input_path,wall_clock_s,exit_code,energy_pkg_uj_total,energy_core_uj_total,avg_power_pkg_w,avg_power_core_w,user_cpu_s,sys_cpu_s,max_rss_kb,num_rapl_samples,governor,cpu_freq_pre_mhz,cpu_freq_post_mhz,cpu_temp_pre_c,cpu_temp_post_c,notes
idle-pre-00--01-95be23,0,-1,2026-05-03T22:27:45-0400,idle_pre,idle,,,120.000560,0,1173786955,1831128,9.7815,0.0153,0,0,0,1201,schedutil,,,,,idle baseline
idle-intertrial-01-000-7e31b4,1,0,2026-05-03T22:27:50-0400,idle_intertrial,idle,,,5.000510,0,46322830,69866,9.2636,0.0140,0,0,0,51,schedutil,,,,,idle baseline
e01-t000-nfa-regex-pash_cold-1M-694c83,1,0,2026-05-03T22:27:52-0400,nfa-regex,pash_cold,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,1.716540,0,53039768,10998790,31.1976,6.4694,2.69,0.22,23032,18,schedutil,1550.0,3831.5,,,
idle-intertrial-01-001-fcaf57,1,1,2026-05-03T22:27:57-0400,idle_intertrial,idle,,,5.000549,0,46247410,144463,9.2485,0.0289,0,0,0,51,schedutil,,,,,idle baseline
e01-t001-wf-pash_cold-100M-928662,1,1,2026-05-03T22:28:09-0400,wf,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,11.605753,0,449441723,42962652,38.7446,3.7036,33.06,4.29,55096,117,schedutil,1550.0,1544.9,,,
idle-intertrial-01-002-7423f7,1,2,2026-05-03T22:28:14-0400,idle_intertrial,idle,,,5.000201,0,46950590,82012,9.3898,0.0164,0,0,0,51,schedutil,,,,,idle baseline
e01-t002-sort-sort-bash-1M-6f513e,1,2,2026-05-03T22:28:14-0400,sort-sort,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.163156,0,2298740,25008,22.9612,0.2498,0.15,0.01,5032,2,schedutil,1550.0,1550.0,,,
idle-intertrial-01-003-3b5208,1,3,2026-05-03T22:28:19-0400,idle_intertrial,idle,,,5.000130,0,55181686,48169,11.0362,0.0096,0,0,0,51,schedutil,,,,,idle baseline
e01-t003-sort-sort-pash_cold-100M-24abd8,1,3,2026-05-03T22:28:24-0400,sort-sort,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,5.293282,0,179310032,14769469,34.4819,2.8402,9.46,3.37,53060,53,schedutil,1550.0,1546.8,,,
idle-intertrial-01-004-cbc149,1,4,2026-05-03T22:28:29-0400,idle_intertrial,idle,,,5.000342,0,51150415,258944,10.4378,0.0528,0,0,0,50,schedutil,,,,,idle baseline
e01-t004-nfa-regex-bash-10M-45270d,1,4,2026-05-03T22:28:51-0400,nfa-regex,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,21.786460,0,509056362,146522788,23.4587,6.7522,21.73,0.08,3436,218,schedutil,1546.9,1550.0,,,
idle-intertrial-01-005-62ccba,1,5,2026-05-03T22:28:56-0400,idle_intertrial,idle,,,5.000381,0,50636878,155570,10.3335,0.0317,0,0,0,50,schedutil,,,,,idle baseline
e01-t005-spell-pash_cold-10M-1125e9,1,5,2026-05-03T22:28:58-0400,spell,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.233804,0,70837661,4490811,32.1969,2.0411,4.02,1.87,24024,23,schedutil,1550.0,1550.0,,,
idle-intertrial-01-006-6d24ce,1,6,2026-05-03T22:29:03-0400,idle_intertrial,idle,,,5.000098,0,63385577,40174,12.6769,0.0080,0,0,0,51,schedutil,,,,,idle baseline
e01-t006-nfa-regex-pash_cold-100M-44d332,1,6,2026-05-03T22:30:57-0400,nfa-regex,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,114.084688,0,3961077381,432436835,34.7463,3.7933,225.25,3.43,52980,1141,schedutil,1550.0,2511.4,,,
idle-intertrial-01-007-a0c238,1,7,2026-05-03T22:31:02-0400,idle_intertrial,idle,,,5.000205,0,46514715,132790,9.3026,0.0266,0,0,0,51,schedutil,,,,,idle baseline
e01-t007-spell-pash_cold-100M-292e4c,1,7,2026-05-03T22:31:15-0400,spell,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,12.094910,0,459668596,28066725,38.3054,2.3389,33.13,13.88,52884,121,schedutil,1550.0,1550.0,,,
