benchmark,input,input_size_bytes,mode,engine,width,cpus,trial,elapsed_sec,exit_status
sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.103444,0
sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,2.657320,0
sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,2.048125,0
sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.247843,0
sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,0.726107,0
sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,3.009110,0
sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,3.291238,0
sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,3.896666,0
sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,7.418257,0
sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,9.783079,0
sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,8.519910,0
sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,6.557418,0
sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,80.519045,0
sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,85.395056,0
sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,72.555317,0
sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,52.762013,0
sort-sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.378489,0
sort-sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,2.307055,0
sort-sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,2.177842,0
sort-sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.172827,0
sort-sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,1.150600,0
sort-sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,3.489343,0
sort-sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,3.165106,0
sort-sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,3.007580,0
sort-sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,11.235097,0
sort-sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,14.346963,0
sort-sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,12.875270,0
sort-sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,9.613243,0
sort-sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,118.028575,0
sort-sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,131.989046,0
sort-sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,114.095203,0
sort-sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,80.192622,0
spell,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.915854,0
spell,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,5.368611,0
spell,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,2.820366,0
spell,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.560476,0
spell,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,3.041979,0
spell,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,5.393468,0
spell,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,5.383085,0
spell,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,4.074209,0
spell,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,28.151571,0
spell,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,33.465585,0
spell,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,34.096873,0
spell,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,20.073053,0
spell,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,295.596730,0
spell,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,324.477000,0
spell,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,342.963611,0
spell,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,194.553691,0
wf,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.457851,0
wf,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,3.048366,0
wf,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,2.727164,0
wf,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.571495,0
wf,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,3.378314,0
wf,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,5.982751,0
wf,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,6.090646,0
wf,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,4.329511,0
wf,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,34.413117,0
wf,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,38.428437,0
wf,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,40.515025,0
wf,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,23.170004,0
wf,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,361.091068,0
wf,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,381.120511,0
wf,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,413.048681,0
wf,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,225.183222,0
sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",2,0.102301,0
sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",2,2.440090,0
sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",2,2.019941,0
sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",2,2.066035,0
sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",2,0.733953,0
sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",2,2.978706,0
sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",2,2.650815,0
sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",2,2.680136,0
sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",2,8.959614,0
sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",2,9.864189,0
sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",2,8.443741,0
sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",2,6.626761,0
sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",2,80.580183,0
sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",2,85.355537,0
sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",2,72.488411,0
sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",2,55.805922,0
sort-sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",2,0.354698,0
sort-sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",2,2.380268,0
sort-sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",2,2.192432,0
sort-sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",2,2.667610,0
sort-sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",2,1.192202,0
sort-sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",2,3.395257,0
sort-sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",2,3.104578,0
sort-sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",2,2.727170,0
sort-sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",2,11.180227,0
sort-sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",2,14.328353,0
sort-sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",2,12.964155,0
sort-sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",2,9.684742,0
sort-sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",2,117.867353,0
sort-sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",2,133.343122,0
sort-sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",2,113.755783,0
sort-sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",2,80.264196,0
spell,1M.txt,1048577,bash_1core_1thread,bash,1,"0",2,0.865029,0
spell,1M.txt,1048577,pash_1core_1thread,pash,1,"0",2,4.218810,0
spell,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",2,3.567837,0
spell,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",2,3.790008,0
spell,10M.txt,10485770,bash_1core_1thread,bash,1,"0",2,3.088536,0
spell,10M.txt,10485770,pash_1core_1thread,pash,1,"0",2,6.752062,0
spell,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",2,5.553943,0
spell,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",2,4.178414,0
spell,100M.txt,104857700,bash_1core_1thread,bash,1,"0",2,28.186911,0
spell,100M.txt,104857700,pash_1core_1thread,pash,1,"0",2,32.931845,0
spell,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",2,33.984752,0
spell,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",2,20.050117,0
spell,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",2,295.537913,0
spell,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",2,323.407084,0
spell,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",2,340.428684,0
spell,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",2,196.116481,0
wf,1M.txt,1048577,bash_1core_1thread,bash,1,"0",2,0.377552,0
wf,1M.txt,1048577,pash_1core_1thread,pash,1,"0",2,3.087543,0
wf,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",2,2.725812,0
wf,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",2,2.506345,0
wf,10M.txt,10485770,bash_1core_1thread,bash,1,"0",2,3.357419,0
wf,10M.txt,10485770,pash_1core_1thread,pash,1,"0",2,5.764809,0
wf,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",2,6.181428,0
wf,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",2,4.296818,0
wf,100M.txt,104857700,bash_1core_1thread,bash,1,"0",2,34.346815,0
wf,100M.txt,104857700,pash_1core_1thread,pash,1,"0",2,38.471152,0
wf,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",2,40.485109,0
wf,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",2,23.135713,0
wf,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",2,360.234591,0
wf,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",2,381.609426,0
wf,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",2,410.449677,0
wf,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",2,223.966031,0
sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",3,0.098322,0
sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",3,2.653121,0
sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",3,2.048151,0
sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",3,2.010764,0
sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",3,0.726703,0
sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",3,2.952988,0
sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",3,2.562358,0
sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",3,2.534943,0
sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",3,7.477661,0
sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",3,9.894566,0
sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",3,8.543763,0
sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",3,6.573814,0
sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",3,80.395287,0
sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",3,85.206827,0
sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",3,72.312309,0
sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",3,51.380746,0
sort-sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",3,0.359413,0
sort-sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",3,2.346659,0
sort-sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",3,2.349390,0
sort-sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",3,2.146421,0
