benchmark,shell,width,mean,std,count
sort-sort,bash,1,26.86366666666667,0.13000128204495962,3
sort-sort,pash,1,39.817,0.4568358567363129,3
sort-sort,pash,2,23.656666666666666,0.02802379940931086,3
sort-sort,pash,4,15.216,0.09953391381835723,3
sort-sort,pash,8,12.519333333333334,0.14005832118561629,3
sort-sort,pash,16,12.883000000000001,0.04003748243833474,3
spell,bash,1,119.95366666666666,0.2164077940678959,3
spell,pash,1,151.08266666666665,0.04455707949734083,3
spell,pash,2,83.99033333333334,0.15763671315189381,3
spell,pash,4,47.974,0.4967645317451714,3
spell,pash,8,29.123333333333335,0.014011899704655072,3
spell,pash,16,22.129666666666665,0.15701698421932964,3
wf,bash,1,85.91366666666666,0.12498933287818789,3
wf,pash,1,198.9523333333333,0.28946905418944197,3
wf,pash,2,106.539,0.054836119483429424,3
wf,pash,4,58.42466666666667,0.02055075018906279,3
wf,pash,8,33.970666666666666,0.07951310164579052,3
wf,pash,16,23.56566666666667,0.19006928561272957,3
